영화,내 별점(y),평균별점,평가자수,등급,장르,국가,상영시간,년도
레지던트 이블,3.0,3.72377,157411.0,청소년 관람불가,공포,"독일, 미국, 영국",100.0,2002.0
파라노말 액티비티,2.0,3.09261,176899.0,청소년 관람불가,공포,미국,85.0,2007.0
유주얼 서스펙트,3.0,4.1993,179873.0,청소년 관람불가,스릴러,"미국, 독일",106.0,1995.0
쥬라기 공원 3,3.0,3.39318,107975.0,12세 관람가,SF,미국,92.0,2001.0
트와일라잇,3.0,3.50983,416967.0,12세 관람가,판타지,미국,121.0,2008.0
더 문,4.0,3.69218,48774.0,12세 관람가,SF,영국,97.0,2009.0
영화는 영화다,2.0,3.30617,150152.0,청소년 관람불가,액션,한국,112.0,2008.0
러브 & 드럭스,4.0,3.28458,97357.0,청소년 관람불가,로맨틱 코미디,미국,112.0,2010.0
그녀를 믿지 마세요,1.0,2.99258,181252.0,12세 관람가,로맨틱 코미디,한국,115.0,2004.0
빨간 모자의 진실,2.0,3.05978,143911.0,전체 관람가,애니메이션,미국,80.0,2005.0
늑대의 유혹,2.0,2.7772,298493.0,12세 관람가,로맨스/멜로,한국,113.0,2004.0
몬스터 주식회사,4.0,3.98265,309626.0,전체 관람가,애니메이션,미국,92.0,2001.0
이웃집 토토로,2.0,4.03615,395868.0,전체 관람가,애니메이션,일본,87.0,1988.0
헝거게임: 판엠의 불꽃,3.0,3.68782,217892.0,15세 관람가,판타지,미국,142.0,2012.0
시카고,2.0,3.78464,100185.0,15세 관람가,드라마,"미국, 캐나다",113.0,2002.0
아이 엠 넘버 포,3.0,3.0511,119942.0,12세 관람가,SF,미국,103.0,2011.0
클릭,4.0,3.41838,206017.0,12세 관람가,코미디,미국,107.0,2006.0
소림축구,3.0,3.49179,300075.0,15세 관람가,코미디,"홍콩, 중국",87.0,2001.0
작전,3.0,3.19586,116948.0,15세 관람가,드라마,한국,119.0,2009.0
스윙걸즈,3.0,3.5283,115920.0,12세 관람가,코미디,일본,103.0,2004.0
데스티네이션,2.0,3.37924,156374.0,청소년 관람불가,공포,미국,97.0,2000.0
새벽의 저주,4.0,3.6578,156496.0,청소년 관람불가,공포,미국,100.0,2004.0
로맨틱 홀리데이,3.0,3.68603,134798.0,15세 관람가,로맨틱 코미디,미국,135.0,2006.0
그 여자 작사 그 남자 작곡,3.0,3.78346,255684.0,12세 관람가,로맨틱 코미디,미국,103.0,2007.0
무간도,5.0,4.04031,140389.0,12세 관람가,범죄,홍콩,100.0,2002.0
쏘우,1.0,3.51588,278451.0,청소년 관람불가,공포,미국,100.0,2004.0
모범시민,3.0,3.60439,183913.0,15세 관람가,액션,미국,107.0,2009.0
28일 후,4.0,3.74457,174359.0,청소년 관람불가,공포,"네덜란드, 영국, 미국",113.0,2002.0
연애의 목적,4.0,3.23468,173432.0,청소년 관람불가,로맨틱 코미디,한국,121.0,2005.0
화이트 칙스,2.0,3.70081,289181.0,15세 관람가,코미디,미국,108.0,2004.0
인 타임,2.0,3.58333,270187.0,12세 관람가,SF,미국,109.0,2011.0
알 포인트,1.0,3.20696,240397.0,15세 관람가,공포,한국,106.0,2004.0
아는 여자,4.0,3.55275,160763.0,15세 관람가,로맨틱 코미디,한국,107.0,2004.0
라디오 스타,3.0,3.48144,283238.0,12세 관람가,코미디,한국,115.0,2006.0
달콤한 인생,3.0,3.88548,225825.0,청소년 관람불가,범죄,한국,120.0,2005.0
인크레더블,4.0,3.73123,324467.0,전체 관람가,애니메이션,미국,121.0,2004.0
우아한 세계,3.0,3.52045,94032.0,15세 관람가,범죄,한국,112.0,2007.0
헝거게임: 캣칭 파이어,3.0,3.7584,171726.0,15세 관람가,판타지,미국,146.0,2013.0
성냥팔이 소녀의 재림,1.0,1.2247,5841.0,15세 관람가,액션,한국,125.0,2002.0
프롬 파리 위드 러브,3.0,3.13425,15434.0,청소년 관람불가,액션,프랑스,94.0,2010.0
BB 프로젝트,2.0,3.20857,29501.0,12세 관람가,액션,홍콩,108.0,2006.0
거룩한 계보,3.0,3.13547,41600.0,15세 관람가,액션,한국,126.0,2006.0
자토이치,3.0,3.28769,23291.0,15세 관람가,액션,일본,116.0,2003.0
상하이 나이츠,2.0,3.16771,31477.0,12세 관람가,액션,"미국, 홍콩",110.0,2003.0
회사원,2.0,2.89357,116801.0,청소년 관람불가,액션,한국,96.0,2012.0
콜래트럴,2.0,3.46082,28435.0,15세 관람가,범죄,미국,120.0,2004.0
크로우즈 제로 2,3.0,3.49094,54565.0,청소년 관람불가,액션,일본,133.0,2009.0
턱시도,3.0,3.17908,98634.0,15세 관람가,액션,미국,99.0,2002.0
