0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
1517,3440,8220,14774,28603,27042,79344,6737,61259,28614
747,1598,4505,7109,15374,17569,48357,3776,41363,13663
1274,2516,7068,10924,22244,25931,66725,6644,57995,19656
598,949,3742,4478,10254,23374,48571,16570,95674,50189
1290,1734,6420,6463,14229,27181,49005,14642,82378,56442
894,1766,5070,8787,17973,28189,71620,11229,92058,55472
2313,4275,9472,19306,33482,51592,133367,11873,133551,48544
1196,2349,5303,12134,20021,43104,88006,21308,158748,137669
8528,9997,29091,26259,61920,29458,119447,4865,66512,25033
1140,2166,6076,10762,20579,49670,109556,19672,175952,88563
2247,4043,10122,15289,31681,31981,93932,9123,88533,37951
2693,2406,9841,10492,21863,35048,86590,15926,116944,62330
3448,2532,13296,8434,21901,28555,66325,17557,107109,73498
937,2065,4489,11897,19252,47066,99672,18368,137147,57637
851,1470,4534,6342,14365,23219,61617,7800,83417,38845
3915,6384,14005,17711,36019,25800,85172,5441,66950,31808
1011,1866,7072,6408,18872,9581,44582,1165,24110,5549
828,1549,4980,6125,14290,12052,39576,2372,28520,7764
1368,2502,8431,7489,22493,11973,51199,1568,33468,9044
417,1099,3142,5058,10868,10600,35935,1921,27604,7782
1314,3477,5265,13273,21181,24971,59114,6188,52054,26580
2009,3144,9117,7443,21778,7134,36976,810,16486,5964
254,661,1473,2883,5349,5144,15962,842,10516,3023
2360,3912,11339,8486,26942,6103,38028,780,13748,6564
1989,3997,9666,16577,31788,33460,102027,7327,87937,32965
613,913,3371,4421,9301,28031,51310,24844,116710,79137
1961,2886,9659,7325,20436,8494,39034,1265,20845,6405
1387,2164,7857,9722,22027,32414,84660,9616,97612,35158
1010,1750,6508,7172,20211,24673,68249,11875,76990,29532
2753,5028,12449,16898,35529,29346,94560,5923,77567,31231
2589,3640,9473,11854,23719,29411,74247,15196,99472,77476
2409,4170,11565,13839,30415,30833,83881,10950,84486,43923
1321,1890,6665,9987,18294,36188,84004,14754,114780,92384
