name,이동진 별점,이동진 코멘트
Ha ma,4.0,우리는 영화시작과 동시에 &#x27;파블로&#x27; 가 되는 체험을 하게된다.
양성하,3.5,"&quot;너 자세히 보니까 예쁘다.&quot;
&quot;... 자세히 안 보면요?&quot;
&quot;사람은 자세히 안 보면 몰라.&quot;"
gan.,3.5,도대체가 무슨 맛인지 설명은 안 되는데 진짜 맛있어서 바닥까지 싹싹 긁어먹었다. 당황스럽기도 하지.
레오나르도,5.0,"&quot;이 영화가 전편보다 못하다는 사람들은 집중해서 안본사람들이다.
 수다가 타란티노의 장점이다.&quot;"
루나린,5.0,"현실 실현가능성 0%, 그러나 무언가 잘못됐음을 알려준다. 가볍지 않은 소재를 가볍게 만들어 가벼운 런닝타임인게 큰 장점. 솔직히 마지막 시원하잖아?"
MJ,4.0,자고로 액션은 작위적이든 위악적이든 먹던 삼겹살을 멈추게할만큼은 되어야한다.
Ko,5.0,영상이 너무 이뻤어서 또 보고싶은데 무서워서 또 볼 수가 없는 영화..
이동진 평론가,3.5,호소다 마모루의 여름 안에서 살고 싶다.
김종엽,5.0,식스센스볼사람은 먼저 보고보세요
박찬현,3.5,원래 남들 수다떠는거 들어보면 재밌잖아요
이수진,4.0,뇌성마비가 류승범이엇다는게 젤 충격...
멸치꼴깍,3.5,"칼날이 피부를 뚫고 나오는 변이가 아프냐고 묻는 로그에게 울버린이 답하길, &quot;매번&quot;. 이토록 고통스러워 가진것이 원망스러운 힘이라니, 나는 이 돌연변이들을 사랑하지 않을 수 없다."
한예찬,4.0,1편에서 끝났어야했다
황민주,1.0,마지막 1분에 모든 걸 다 걸었다고 하기엔 흘러간 지루한 러닝타임 어떻게 책임지실 건가요..
박지운,4.0,스포한 놈 없애버릴거야.
김도훈 평론가,2.5,&#x27;어차피 스필버그처럼 못하니까 무던하게 만들어! 티라노보다 더 무서운 공룡 하나 넣고! 익룡도 넣고!&#x27;의 결과물.
미순,2.0,저스틴비버 좋아하는 애들이 이 영화도 좋아하지 싶다
영화보는 변준수,4.0,"인간미 넘치는 컴퓨터와 인간미 넘치는 클론들.
가장 인간스럽지 않게 묘사되는건 인간.
차가운 배경에 따뜻한 속내를 잘 대비시켜  드러내는 영화."
이동진 평론가,3.5,거칠고 강렬한 동물적 에너지.
Chankyu Kim,4.0,"한국어 제목이 엉망이다. Love and Other Drugs 라는 제목에는, love가 가장 큰 drug이라는 영화의 의미가 담겨있다."
이동진 평론가,3.5,이 영화는 믿으세요.
박재혁,3.0,어릴때 봐서 그런지 재밌었던 기억만 남아있다.
곽민지,3.0,"남자주인공3대등장씬에 빛나는
우산으로뛰어드는장면"
Abby Ghana Lee,5.0,영화를 보고 집으로 와 나도 모르게 벽장문을 한번 열어본다 설리의 뒷 모습이 너무 슬프다 픽사는 어른을 울리는 애니메이션을 너무 자주 만든다
익명,4.0,전혀 자극적이지 않지만 건강에 좋은 유기농 음식을 먹는 느낌이다.
할리우드,5.0,"소설은 소설로 만족할것?
그러면 영화는 영화로만족하고
당신은 소설만 읽으면 되겠군"
엄지영,4.5,"Pop, Six, Squish, Uh-uh, Cicero, Lipschitz!"
제이림,3.0,속편 왜안나오지
전홍주,4.0,처음엔 유쾌한가족영화인줄 알았는데 요근래본 영화중 가장 감동적이었다. 소재도 참신하고 배우의 연기도 일품이었다.
최플린,5.0,"소림축구는 사랑입니다. 인생영화 뭐 따로 있나요, 주성치 낡은 운동화처럼 닳고 닳을때까지 애정하며 오랜 세월 함께 한 영화가 있다면 그게 진정 인생영화죠."
초이,4.0,"어려운 주식용어를 쉽게 풀어내다~재미와 함께
배우들의 합이 잘 맞았던 영화^^"
유경민,5.0,"청춘영화는 언제나, 어른들의 욕망이 투영된 가상의 놀이터"
김미은,3.0,서양판 이승탈출 넘버원
세희,5.0,역대 최고의 좀비영화!
신한나,3.5,"영화 자체도 달달하니 좋은데 주드로는 진짜 ..
미치도록 잘생기고 섹시하다 와우...."
영지니어스,3.0,OST가 갑이지
