,title,rating(y),avg_rating,lee_rating,eval_count,wish_count,cmt_count,run_time,year,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,text
66,맨발의 꿈,2.0,3.32487,3.0,24013.0,996.0,172.0,121.0,2010.0,175,324,695,1346,2004,3247,7365,725,6190,1942,김태균 박희순 고창석 프란시스코프렌큐아마랄 전체관람가 드라마 한국 일본
67,"그 시절, 우리가 좋아했던 소녀",2.0,3.98496,,210095.0,25167.0,3953.0,107.0,2011.0,820,1245,3010,5197,7081,22583,27173,22404,59542,61041,구파도 가진동 진연희 언승우 15세관람가 로맨스 멜로 대만
68,박수건달,1.0,2.96825,,233706.0,2061.0,842.0,127.0,2012.0,5160,6439,17861,15801,35861,19361,67644,3617,44354,17608,조진규 박신양 정혜영 김정태 15세관람가 코미디 한국
69,꽃보다 남자,2.0,2.78668,,36797.0,484.0,159.0,130.0,2008.0,1528,1606,3324,3025,6125,2810,9986,502,5288,2603,이시이야스하루 아베츠요시 이노우에마오 마츠모토준 12세관람가 로맨스 멜로 일본
70,어메이징 스파이더맨 2,3.0,3.58656,,186029.0,4882.0,3758.0,142.0,2014.0,1210,2327,2123,11206,8699,34900,38915,12465,50366,23818,마크웹 앤드류가필드 엠마스톤 제이미폭스 12세관람가 액션 미국
71,무간도 3 - 종극무간,5.0,3.73584,,34346.0,2529.0,279.0,117.0,2003.0,121,176,779,840,1895,3462,7213,1953,10762,7145,맥조휘 유덕화 양조위 여명 15세관람가 범죄 홍콩
72,해롤드와 쿠마,3.0,3.46281,,14818.0,2116.0,226.0,87.0,2004.0,101,176,507,622,1203,1853,3522,614,4387,1833,대니레이너 존조 칼펜 폴라가시스 청소년관람불가 코미디 미국 캐나다
73,나 홀로 집에 3,3.0,3.27461,,175265.0,916.0,707.0,102.0,1997.0,2520,4330,6206,12737,17921,20903,46014,5553,39197,19884,라자고스넬 레니본돌렌 마리안셀즈 리아킬스테트 전체관람가 코미디 미국
74,해결사,2.0,2.82631,,35242.0,929.0,190.0,100.0,2010.0,511,1067,2464,3047,6518,2851,12120,297,4883,1484,권혁재 설경구 이정진 오달수 15세관람가 액션 한국
75,렛 미 인,4.0,3.46239,,55614.0,8694.0,761.0,116.0,2010.0,357,606,1429,2595,3980,8084,14048,2660,16067,5788,맷리브스 클로이모레츠 코디스밋맥피 리차드젠킨스 15세관람가 공포 영국 미국
76,내가 널 사랑할 수 없는 10가지 이유,3.0,3.85055,,51157.0,15118.0,1006.0,97.0,1999.0,112,201,632,1115,1676,6440,9097,4110,17346,10428,길정거 히스레저 수잔메이플랫 줄리아스타일즈 12세관람가 로맨틱 코미디 미국
77,즐거운 인생,2.0,3.15776,,47813.0,1106.0,314.0,112.0,2007.0,345,812,1751,3366,5533,5635,16086,1008,10586,2691,이준익 정진영 김윤석 장근석 전체관람가 드라마 한국
78,사탄의 인형,3.0,3.18125,,86266.0,702.0,514.0,87.0,1988.0,2249,1735,4493,4429,8351,11688,23368,2491,21119,6343,톰홀랜드 캐서린힉스 크리스서랜던 알렉스빈센트 15세관람가 공포 미국
